NUMERO_DOCUMENTO,CUENTA,RAZON SOCIAL,LINEA,CICLO,SIMCARD
900361602,1014263356,TRACKING SOLUTIONS TSO,9101164749,26,8957123112215383868
900361602,1014263356,TRACKING SOLUTIONS TSO,9101170608,26,8957123110542474004
900361602,1014263356,TRACKING SOLUTIONS TSO,9101193948,26,8957123110544397559
900361602,1014263356,TRACKING SOLUTIONS TSO,9101063969,26,8957123112215164102
900361602,1014263356,TRACKING SOLUTIONS TSO,9101147349,26,8957123112215383702
900361602,1014263356,TRACKING SOLUTIONS TSO,9101332564,26,8957123112215385178
900361602,1014263356,TRACKING SOLUTIONS TSO,9101184406,26,8957123111416388551
900361602,1014263356,TRACKING SOLUTIONS TSO,9101186252,26,8957123110545220701
900361602,1014263356,TRACKING SOLUTIONS TSO,9101261548,26,8957123112215160837
900361602,1014263356,TRACKING SOLUTIONS TSO,9101302245,26,8957123112215387315
900361602,1014263356,TRACKING SOLUTIONS TSO,9101419960,26,8957123112215164516
900361602,1014263356,TRACKING SOLUTIONS TSO,9101361896,26,8957123112215386440
900361602,1014263356,TRACKING SOLUTIONS TSO,9101382438,26,8957123112215382308
900361602,1014263356,TRACKING SOLUTIONS TSO,9101168732,26,8957123110542477296
900361602,1014263356,TRACKING SOLUTIONS TSO,9101166801,26,8957123110545807572
900361602,1014263356,TRACKING SOLUTIONS TSO,9101166823,26,8957123110544468111
900361602,1014263356,TRACKING SOLUTIONS TSO,9101272354,26,8957123112215386655
900361602,1014263356,TRACKING SOLUTIONS TSO,9101302698,26,8957123112215384312
900361602,1014263356,TRACKING SOLUTIONS TSO,9101180297,26,8957123112102787668
900361602,1014263356,TRACKING SOLUTIONS TSO,9101334521,26,8957123112215381094
900361602,1014263356,TRACKING SOLUTIONS TSO,9101364363,26,8957123112215389154
900361602,1014263356,TRACKING SOLUTIONS TSO,9101397007,26,8957123112115870493
900361602,1014263356,TRACKING SOLUTIONS TSO,9101187853,26,8957123112215170067
900361602,1014263356,TRACKING SOLUTIONS TSO,9101435510,26,8957123112115870675
900361602,1014263356,TRACKING SOLUTIONS TSO,9101433532,26,8957123112215340660
900361602,1014263356,TRACKING SOLUTIONS TSO,9101428918,26,8957123111901265793
900361602,1014263356,TRACKING SOLUTIONS TSO,9101380483,26,8957123112215390152
900361602,1014263356,TRACKING SOLUTIONS TSO,9101057359,26,8957123112215389238
900361602,1014263356,TRACKING SOLUTIONS TSO,9101168758,26,8957123112102786488
900361602,1014263356,TRACKING SOLUTIONS TSO,9101170629,26,8957123311903276000
900361602,1014263356,TRACKING SOLUTIONS TSO,9101169049,26,8957123112215387976
900361602,1014263356,TRACKING SOLUTIONS TSO,9101180308,26,8957123310521561587
900361602,1014263356,TRACKING SOLUTIONS TSO,9101139877,26,8957123110545927438
900361602,1014263356,TRACKING SOLUTIONS TSO,9101139917,26,8957123110542479094
900361602,1014263356,TRACKING SOLUTIONS TSO,9101317639,26,8957123112215388941
900361602,1014263356,TRACKING SOLUTIONS TSO,9101331806,26,8957123411800049805
900361602,1014263356,TRACKING SOLUTIONS TSO,9101166947,26,8957123112102785332
900361602,1014263356,TRACKING SOLUTIONS TSO,9101263927,26,8957123112215386911
900361602,1014263356,TRACKING SOLUTIONS TSO,9101328057,26,8957123112009139302
900361602,1014263356,TRACKING SOLUTIONS TSO,9101294682,26,8957123112215381748
900361602,1014263356,TRACKING SOLUTIONS TSO,9101417145,26,8957123112215388719
900361602,1014263356,TRACKING SOLUTIONS TSO,9101139865,26,8957123110542475365
900361602,1014263356,TRACKING SOLUTIONS TSO,9101143681,26,8957123110545801922
900361602,1014263356,TRACKING SOLUTIONS TSO,9101143687,26,8957123110542476579
900361602,1014263356,TRACKING SOLUTIONS TSO,9101143724,26,8957123311401810631
900361602,1014263356,TRACKING SOLUTIONS TSO,9101151367,26,8957123112102786975
900361602,1014263356,TRACKING SOLUTIONS TSO,9101170682,26,8957123510617246767
900361602,1014263356,TRACKING SOLUTIONS TSO,9101277599,26,8957123110543986469
900361602,1014263356,TRACKING SOLUTIONS TSO,9101182130,26,8957123111415989920
900361602,1014263356,TRACKING SOLUTIONS TSO,9101149347,26,8957123112215383421
900361602,1014263356,TRACKING SOLUTIONS TSO,9101180237,26,8957123110540156454
900361602,1014263356,TRACKING SOLUTIONS TSO,9101168566,26,8957123112215382118
900361602,1014263356,TRACKING SOLUTIONS TSO,9101167647,26,8957123112215163377
900361602,1014263356,TRACKING SOLUTIONS TSO,9101336801,26,8957123112215381920
900361602,1014263356,TRACKING SOLUTIONS TSO,9101365821,26,8957123112215389188
900361602,1014263356,TRACKING SOLUTIONS TSO,9101162048,26,8957123112215168079
900361602,1014263356,TRACKING SOLUTIONS TSO,9101183308,26,8957123110542474301
900361602,1014263356,TRACKING SOLUTIONS TSO,9101183319,26,8957123110540424928
900361602,1014263356,TRACKING SOLUTIONS TSO,9101155279,26,8957123110527592135
900361602,1014263356,TRACKING SOLUTIONS TSO,9101155300,26,8957123112102787403
900361602,1014263356,TRACKING SOLUTIONS TSO,9101274465,26,8957123112215388560
900361602,1014263356,TRACKING SOLUTIONS TSO,9101138725,26,8957123112215161074
900361602,1014263356,TRACKING SOLUTIONS TSO,9101183233,26,8957123310521561561
900361602,1014263356,TRACKING SOLUTIONS TSO,9101183260,26,8957123110540308576
900361602,1014263356,TRACKING SOLUTIONS TSO,9101379327,26,8957123112115871665
900361602,1014263356,TRACKING SOLUTIONS TSO,9101168751,26,8957123110545806699
900361602,1014263356,TRACKING SOLUTIONS TSO,9101170627,26,8957123111415989573
900361602,1014263356,TRACKING SOLUTIONS TSO,9101437712,26,8957123112009139757
900361602,1014263356,TRACKING SOLUTIONS TSO,9101442000,26,8957123112115871947
900361602,1014263356,TRACKING SOLUTIONS TSO,9101331800,26,8957123111901066845
900361602,1014263356,TRACKING SOLUTIONS TSO,9101386857,26,8957123112215163757
900361602,1014263356,TRACKING SOLUTIONS TSO,9101182189,26,8957123112102787155
900361602,1014263356,TRACKING SOLUTIONS TSO,9101139878,26,8957123110545804645
900361602,1014263356,TRACKING SOLUTIONS TSO,9101197392,26,8957123112006379273
900361602,1014263356,TRACKING SOLUTIONS TSO,9101288944,26,8957123112215387505
900361602,1014263356,TRACKING SOLUTIONS TSO,9101324193,26,8957123111901066480
900361602,1014263356,TRACKING SOLUTIONS TSO,9101190122,26,8957123110545805840
900361602,1014263356,TRACKING SOLUTIONS TSO,9101171491,26,8957123112215387703
