Serial Number,IMEI,Unit Type,Unit,Firmware,Script,Nuevo script,Nuevo firmware
1363189344,352556102948028,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,ZNN824,,TSO_LMU3x0_Basic_BIKE_10S_AWS_10700,,
S2-M006820-0WMJ,868574041208021,Queclink GV55W,ZNM766,G604.08.04KX 10:27:17 AUG 21 2018,,,
000003849921,357852031825840,GenX Super 5,ZNL193,G602.06.81KX 10:53:06 MAY  6 2013,/BasicScripts/COL/CLA/FLS_4210412.txt,,
S2-M007693-0XM2,868574042406905,Queclink GV55W,ZNL084,G603.07.07KX 16:22:42 MAR 21 2019,,,
S2-M006820-0XPN,868574041211553,Queclink GV55W,ZNL081,G602.06.75KX 12:36:14 DEC 16 2011,,,
S2-M006820-0WKS,868574041240982,Queclink GV55W,ZNK951,G603.07.04KX 11:57:20 APR 26 2016,,,
000003919546,355233050977303,GenX 656BV,ZNK734,G602.06.81KX 10:53:06 MAY  6 2013,/BasicScripts/COL/CLA/FLS_4210412.txt,,
S2-M007693-173G,868574042744552,Queclink GV55W,ZNK725,G602.06.84KX 08:04:46 JUL 21 2014,,,
4764247261,357041064217964,"CalAmp 2630 - HSPA -LMU26H3001-G1000

",ZNK192,G602.07.94JX 12:52:58 NOV 29 2016,TSO_LMU26x0_FLS_ES2_BIN_AWS_10700,,
S2-M007693-14H9,868574042925045,Queclink GV55W,YAQ858,,,,
S2-M006820-0XLU,868574041382453,Queclink GV55W,YAP438,G602.06.80KX 10:42:39 JAN 29 2013,,,
S2-M006820-0WMM,868574041211504,Queclink GV55W,YAP238,G603.07.04KX 11:57:20 APR 26 2016,,,
S2-M007693-724A,868574042445937,Queclink GV55W,WTC924,G603.07.04KX 11:57:20 APR 26 2016,,,
000034410489,359316071133539,GenX 656BV,WHV362,G603.07.04KX 11:57:20 APR 26 2016,/BasicScripts/COL/CLA/GNX_BINARY_4210498.txt,,
000003914577,358696042804016,GenX 656B,VMU499,G602.06.84KX 08:04:46 JUL 21 2014,/656B/TSO_COL/VPNCLA/IBUTTON_02052013.txt,,
S2-M007693-0XDF,868574042453204,Queclink GV55W,VKK624,G604.08.02KX 10:56:30 FEB  6 2018,,,
000034400332,353816054975398,GenX 653B IA 2B,VCX151,G603.07.02KX 10:24:51 AUG  5 2015,/BasicScripts/COL/MOV/GNX_BINARY_4110498.txt,,
000036081616,357520074884277,GenX 656BV,VCC209,G604.08.02KX 10:56:30 FEB  6 2018,/BasicScripts/COL/CLA/GNX_IB_4OUT_3810412.txt,,
S2-M007693-0XJK,868574042408307,Queclink GV55W,VBW486,G602.06.86KX 06:20:44 OCT 17 2014,,,
S2-M007693-0XHO,868574042384854,Queclink GV55W,VBK301,G602.06.74KX 06:40:47 SEP 27 2011,,,
4634529740,351628098533071,CalAmp 2630 - 3G - LMU2631H-H000-G1000,TSV916,,TSO_LMU26x0_FLS_ES2_BIN_1Hr Parked_AWS_10700,,
S2-M006820-0XLM,868574041252474,Queclink GV55W,TNG850,G604.08.66KX 19:45:20 DEC 14 2017,,,
S2-M007693-250A,868574042436373,Queclink GV55W,TMV371,,,,
000003952450,359394056393089,GenX 656BV,TMP155 ,G602.06.83KX 12:45:18 FEB 10 2014,/BasicScripts/CLARO_656B_BASICO_VPN.txt,,
000034400461,353816055044376,GenX 656BV,TJX692,G603.07.02KX 10:24:51 AUG  5 2015,/BasicScripts/Default/GNX_BIN_VPNCLA_4210476.txt,,
000003952199,359394056226891,GenX 656BV,TJW624,G602.06.83KX 12:45:18 FEB 10 2014,/BasicScripts/CLARO_656B_BASICO_VPN.txt,,
MP83705D3016940,868574042751052,Queclink GV55W,TJW512,G602.06.83KX 12:45:18 FEB 10 2014,,,
000003951469,359394052422338,GenX 656BV,TEO225 ,,/BasicScripts/Default/GNX_BN_VPMOV_0005.txt,,
S2-M007693-0XEO,868574042410618,Queclink GV55W,TEK533,G603.07.04KX 11:57:20 APR 26 2016,,,
000003940375,355233055816258,GenX 656B,STX820,G602.06.81KX 10:53:06 MAY  6 2013,/BasicScripts/COL/CLA/FLS_4210412.txt,,
S2-M006820-0XDT,868574041301289,Queclink GV55,SBH337,G603.07.04KX 11:57:20 APR 26 2016,,,
000034410507,359316074085314,GenX 656BV,KUM480,G603.07.04KX 11:57:20 APR 26 2016,/BasicScripts/COL/CLA/GNX_BINARY_1310492.txt,,
